"Id","IsDeleted","Name","CurrencyIsoCode","SBQQ__Account__c","SBQQ__AggregationScope__c","SBQQ__ConstraintField__c","SBQQ__CrossOrders__c","SBQQ__CrossProducts__c","SBQQ__Description__c","SBQQ__DiscountUnit__c","SBQQ__ExcludedPricebookIds__c","SBQQ__IncludeBundledProducts__c","SBQQ__OriginalDiscountSchedule__c","SBQQ__OverrideBehavior__c","SBQQ__PriceScale__c","SBQQ__Pricebook__c","SBQQ__Product__c","SBQQ__QuoteLineQuantityField__c","SBQQ__QuoteLine__c","SBQQ__Quote__c","SBQQ__Type__c","SBQQ__UsePriceForAmount__c","SBQQ__UserDefined__c","SBQQ__OrderProduct__c","SBQQ__Order__c"
"a0C1N00000Gum96UAB","false","T&E User Discount Schedule","USD",,,,"true","true",,"Percent",,"false",,"All","2.0",,,"Quantity",,,"Range","false","false",,
"a0C1N00000Gum97UAB","false","Tooless Cable Managment","USD",,,,"false","false",,"Percent",,"false",,,"2.0",,,"Quantity",,,"Range","false","false",,
"a0C1N00000Gum98UAB","false","Hardware Maintenance Term Discount","USD",,"Quote",,"false","false",,"Percent",,"false",,"All","2.0","01s1N000006ode7QAA",,"Quantity",,,"Range","false","false",,
"a0C1N00000Gum99UAB","false","Term Discount on Software Maintenance","USD",,"Quote",,"false","false",,"Percent",,"false",,,"2.0","01s1N000006ode7QAA",,"Quantity",,,"Range","false","false",,
"a0C1N00000Gum9AUAR","false","Finance and Reporting User Discount Schedule","USD",,,,"true","true",,"Percent",,"false",,"All","2.0",,,"Quantity",,,"Range","false","false",,
"a0C1N00000GumA0UAJ","false","*INTERNAL*a0C41000000ooCjEAI","USD",,,,"false","false",,"Percent",,"false",,"All","2.0","01s1N000006ode7QAA","01t1N00000EURLkQAP",,,,"Range","false","false",,
