"Id","OwnerId","IsDeleted","Name","CurrencyIsoCode","RecordTypeId","CreatedDate","CreatedById","SBQQ__AppliedImmediately__c","SBQQ__ApplyToProductOptions__c","SBQQ__AutoSelect__c","SBQQ__ColumnOrder__c","SBQQ__DisplayOrder__c","SBQQ__Feature__c","SBQQ__HiddenValues__c","SBQQ__Hidden__c","SBQQ__Position__c","SBQQ__Product__c","SBQQ__Required__c","SBQQ__ShownValues__c","SBQQ__TargetField__c","SBQQ__Global__c","SBQQ__DefaultField__c","SBQQ__DefaultObject__c"
"a021N00000WVuduQAD","0051N000005nWuFQAU","false","Memory Configuration","USD",,"2018-01-17T14:35:50.000Z","0051N000005nWuFQAU","true","false","false","1","1.0","a0a1N0000085v3YQAQ",,"false","Top","01t1N00000EURKyQAP","false",,"Memory_Config__c","false",,
"a021N00000WVudvQAD","0051N000005nWuFQAU","false","Server Configuration","USD",,"2018-01-17T14:35:50.000Z","0051N000005nWuFQAU","true","false","false","1","1.0",,,"false","Top","01t1N00000EURKyQAP","true",,"Configuration__c","false",,
"a021N00000WVudwQAD","0051N000005nWuXQAU","false","Engineering Options","USD",,"2018-01-17T14:35:50.000Z","0051N000005nWuXQAU","true","false","false","2","1.0","a0a1N0000085v3ZQAQ",,"false","Top","01t1N00000EURKdQAP","false",,"Engineering_Options__c","false",,
"a021N00000WVudxQAD","0051N000005nWuXQAU","false","Resource Location","USD",,"2018-01-17T14:35:50.000Z","0051N000005nWuXQAU","true","true","false","1","1.0","a0a1N0000085v3ZQAQ",,"false","Top","01t1N00000EURKdQAP","false",,"Resource_Location__c","false",,
"a021N00000WVudyQAD","0051N000005nWuXQAU","false","Comments/Assumptions","USD",,"2018-01-17T14:35:50.000Z","0051N000005nWuXQAU","false","true","false","1","1.0","a0a1N0000085v3ZQAQ",,"false","Bottom","01t1N00000EURKdQAP","false",,"Assumptions_Comments_ER__c","false",,
"a021N00000WVudzQAD","0051N000005nWuXQAU","false","Comments/Assumptions","USD",,"2018-01-17T14:35:50.000Z","0051N000005nWuXQAU","false","true","false","1","1.0","a0a1N0000085v3aQAA",,"false","Bottom","01t1N00000EURKdQAP","false",,"Assumptions_Comments_PM__c","false",,
"a021N00000WVue0QAD","0051N000005nWuXQAU","false","Comments/Assumptions","USD",,"2018-01-17T14:35:50.000Z","0051N000005nWuXQAU","false","true","false","1","1.0","a0a1N0000085v3bQAA",,"false","Bottom","01t1N00000EURKdQAP","false",,"Assumptions_Comments_SA__c","false",,
"a021N00000WVue1QAD","0051N000005nWuOQAU","false","Deployment","USD",,"2018-01-17T14:35:50.000Z","0051N000005nWuOQAU","true","false","false","1","1.0","a0a1N0000085v3cQAA",,"false","Top","01t1N00000EURKoQAP","true",,"Deployment__c","false",,
