"Id","IsDeleted","Name","CurrencyIsoCode","SBQQ__Rule__c","SBQQ__FilterField__c","SBQQ__FilterValue__c","SBQQ__Operator__c","SBQQ__Product__c","SBQQ__Required__c","SBQQ__Type__c","SBQQ__ValueField__c","SBQQ__ValueObject__c","SBQQ__ValueAttribute__c","SBQQ__ParentRuleIsActive__c"
"a0Z1N00000Eo4bcUAB","false","PA-0000079","USD","a0c1N00000MVcZmQAL",,,,"01t1N00000EURKuQAP","false","Show & Add",,,,"true"
"a0Z1N00000Eo4bCUAR","false","PA-0000053","USD","a0c1N00000MVcZkQAL",,,,"01t1N00000EURKsQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bdUAB","false","PA-0000080","USD","a0c1N00000MVcZjQAL",,,,"01t1N00000EURKzQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bDUAR","false","PA-0000054","USD","a0c1N00000MVcZkQAL",,,,"01t1N00000EURLJQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4beUAB","false","PA-0000081","USD","a0c1N00000MVcZjQAL",,,,"01t1N00000EURKuQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bEUAR","false","PA-0000055","USD","a0c1N00000MVcZkQAL",,,,"01t1N00000EURLVQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4bfUAB","false","PA-0000082","USD","a0c1N00000MVcZmQAL",,,,"01t1N00000EURKzQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bFUAR","false","PA-0000056","USD","a0c1N00000MVcZkQAL",,,,"01t1N00000EURKtQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bgUAB","false","PA-0000083","USD","a0c1N00000MVcZmQAL",,,,"01t1N00000EURLTQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4bGUAR","false","PA-0000057","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURKrQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bhUAB","false","PA-0000084","USD","a0c1N00000MVcZlQAL",,,,"01t1N00000EURLTQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4bHUAR","false","PA-0000058","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURMWQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4biUAB","false","PA-0000085","USD","a0c1N00000MVcZlQAL",,,,"01t1N00000EURKuQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bIUAR","false","PA-0000059","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURLIQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4bjUAB","false","PA-0000087","USD","a0c1N00000MVcZsQAL",,,,"01t1N00000EURKqQAP","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4bJUAR","false","PA-0000060","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURKzQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bkUAB","false","PA-0000088","USD","a0c1N00000MVcZsQAL",,,,"01t1N00000EURLfQAP","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4bKUAR","false","PA-0000061","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURKuQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4blUAB","false","PA-0000089","USD","a0c1N00000MVcZsQAL",,,,"01t1N00000EURLrQAP","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4bLUAR","false","PA-0000062","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURLJQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4bmUAB","false","PA-0000091","USD","a0c1N00000MVcZtQAL",,,,"01t1N00000EURKqQAP","false","Show",,,,"true"
"a0Z1N00000Eo4bMUAR","false","PA-0000063","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURKsQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bnUAB","false","PA-0000090","USD","a0c1N00000MVcZtQAL",,,,"01t1N00000EURMIQA5","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4bNUAR","false","PA-0000064","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURLiQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4boUAB","false","PA-0000092","USD","a0c1N00000MVcZtQAL",,,,"01t1N00000EURLfQAP","false","Show",,,,"true"
"a0Z1N00000Eo4bOUAR","false","PA-0000065","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURMBQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4bpUAB","false","PA-0000093","USD","a0c1N00000MVcZtQAL",,,,"01t1N00000EURLrQAP","false","Show",,,,"true"
"a0Z1N00000Eo4bPUAR","false","PA-0000066","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURMWQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4bqUAB","false","PA-0000094","USD","a0c1N00000MVcZsQAL",,,,"01t1N00000EURMIQA5","false","Show & Add",,,,"true"
"a0Z1N00000Eo4bQUAR","false","PA-0000067","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURLUQA5","false","Remove",,,,"true"
