"Id","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","IsActive","IsArchived","Description","IsStandard"
"01s1N000006ode7QAA","false","Standard Price Book","USD","2018-01-17T14:35:50.000Z","0051N000005nWuFQAU","true","false",,"true"
"01s1N000006ode9QAA","false","National Account Pricebook","USD","2018-01-17T14:35:50.000Z","0051N000005nWuNQAU","true","false",,"false"
