"Id","IsDeleted","Name","CurrencyIsoCode","SBQQ__Active__c","SBQQ__Product__c","SBQQ__UnitCost__c"
"a051N000041nhlGQAQ","false","COST-000124","AUD","true","01t1N00000EURKcQAP","585.6"
"a051N000041nhlhQAA","false","COST-000151","AUD","true","01t1N00000EURLLQA5","442.4"
"a051N000041nhlHQAQ","false","COST-000125","AUD","true","01t1N00000EURKbQAP","8512.0"
"a051N000041nhliQAA","false","COST-000152","AUD","true","01t1N00000EURLKQA5","24.0"
"a051N000041nhlIQAQ","false","COST-000126","AUD","true","01t1N00000EURMFQA5","5320.0"
"a051N000041nhljQAA","false","COST-000153","AUD","true","01t1N00000EURLAQA5","112.0"
"a051N000041nhlJQAQ","false","COST-000127","AUD","true","01t1N00000EURMGQA5","5120.5"
"a051N000041nhlkQAA","false","COST-000154","AUD","true","01t1N00000EURMLQA5","139.8"
"a051N000041nhlKQAQ","false","COST-000128","AUD","true","01t1N00000EURLqQAP","798.0"
"a051N000041nhllQAA","false","COST-000155","AUD","true","01t1N00000EURLaQAP","79.2"
"a051N000041nhlLQAQ","false","COST-000129","AUD","true","01t1N00000EURKaQAP","4788.0"
"a051N000041nhlmQAA","false","COST-000156","AUD","true","01t1N00000EURMMQA5","36.0"
"a051N000041nhlMQAQ","false","COST-000130","AUD","true","01t1N00000EURKZQA5","5586.0"
"a051N000041nhlnQAA","false","COST-000157","AUD","true","01t1N00000EURMNQA5","43.8"
"a051N000041nhlNQAQ","false","COST-000131","AUD","true","01t1N00000EURLpQAP","0.0"
"a051N000041nhloQAA","false","COST-000158","AUD","true","01t1N00000EURLYQA5","10.4"
"a051N000041nhlOQAQ","false","COST-000132","AUD","true","01t1N00000EURLmQAP","56.0"
"a051N000041nhlpQAA","false","COST-000159","AUD","true","01t1N00000EURLZQA5","11.2"
"a051N000041nhlPQAQ","false","COST-000133","AUD","true","01t1N00000EURMHQA5","6783.0"
"a051N000041nhlqQAA","false","COST-000160","AUD","true","01t1N00000EURLFQA5","10.5"
"a051N000041nhlQQAQ","false","COST-000134","AUD","true","01t1N00000EURKdQAP","0.0"
"a051N000041nhlrQAA","false","COST-000161","AUD","true","01t1N00000EURLhQAP","10.2"
"a051N000041nhlRQAQ","false","COST-000135","AUD","true","01t1N00000EURKjQAP","209.3"
"a051N000041nhlsQAA","false","COST-000162","AUD","true","01t1N00000EURL8QAP","28.8"
"a051N000041nhlSQAQ","false","COST-000136","AUD","true","01t1N00000EURLNQA5","3990.0"
"a051N000041nhltQAA","false","COST-000163","AUD","true","01t1N00000EURL9QAP","23.4"
"a051N000041nhlTQAQ","false","COST-000137","AUD","true","01t1N00000EURLOQA5","15960.0"
"a051N000041nhluQAA","false","COST-000164","AUD","true","01t1N00000EURLMQA5","632.1"
"a051N000041nhlUQAQ","false","COST-000138","AUD","true","01t1N00000EURKoQAP","0.0"
"a051N000041nhlvQAA","false","COST-000165","AUD","true","01t1N00000EURKvQAP","1078.7"
"a051N000041nhlVQAQ","false","COST-000139","AUD","true","01t1N00000EURKmQAP","1915.2"
"a051N000041nhlwQAA","false","COST-000166","AUD","true","01t1N00000EURKyQAP","2245.6"
"a051N000041nhlWQAQ","false","COST-000140","AUD","true","01t1N00000EURMIQA5","7980.0"
"a051N000041nhlxQAA","false","COST-000167","AUD","true","01t1N00000EURMOQA5","44.0"
"a051N000041nhlXQAQ","false","COST-000141","AUD","true","01t1N00000EURL1QAP","651.7"
